試験体No.,試験体    種別,載荷方向,P(1/120),2/3Pmax,P(γmax/2),最大荷重 Pmax,最大荷重時の変形角
1a,貫のみ1,+,45.28 ,247.33 ,217.33 ,371,0.101 
,,-,-29.75 ,-227.33 ,-168.64 ,-341,-0.098 
1b,貫のみ2,+,45.81 ,220.00 ,200.32 ,330,0.097 
,,-,-28.30 ,-274.00 ,-242.43 ,-411,-0.100 
2a,貫下地1,+,30.48 ,220.00 ,194.28 ,330,0.098 
,,-,-37.62 ,-234.00 ,-155.62 ,-351,-0.094 
2b,貫下地2,+,80.83 ,270.67 ,269.14 ,406,0.100 
,,-,-75.20 ,-307.33 ,-293.50 ,-461,-0.098 
3a,荒壁1,+,304.44 ,397.33 ,535.37 ,596,0.064 
,,-,-266.10 ,-367.33 ,-468.87 ,-551,-0.098 
3b,荒壁2,+,392.04 ,484.00 ,651.46 ,726,0.063 
,,-,-376.34 ,-424.00 ,-571.16 ,-636,-0.064 
4a,中塗1,+,923.96 ,911.33 ,921.99 ,1367,0.016 
,,-,-1225.63 ,-934.67 ,-1162.45 ,-1402,-0.015 
4b,中塗2,+,972.30 ,868.00 ,950.48 ,1302,0.016 
,,-,-1071.67 ,-791.33 ,-1052.33 ,-1187,-0.015 
5a,筋かい付下地1,+,280.99 ,250.67 ,341.11 ,376,0.061 
,,-,-540.25 ,-600.67 ,-683.90 ,-901,-0.026 
5b,筋かい付下地2,+,641.00 ,457.33 ,314.68 ,686,0.008 
,,-,-572.63 ,-594.00 ,-749.85 ,-891,-0.027 
6a,筋かい付荒壁1,+,558.49 ,534.00 ,677.42 ,801,0.032 
,,-,-726.53 ,-754.67 ,-847.14 ,-1132,-0.023 
6b,筋かい付荒壁2,+,611.03 ,660.67 ,896.95 ,991,0.068 
,,-,-905.12 ,-998.00 ,-1093.75 ,-1497,-0.024 
7a,筋かい付中塗1,+,1148.89 ,1024.67 ,1131.44 ,1537,0.016 
,,-,-1270.15 ,-1258.67 ,-1848.89 ,-1888,-0.029 
7b,筋かい付中塗2,+,1442.93 ,1118.67 ,1576.16 ,1678,0.027 
,,-,-1280.54 ,-1268.67 ,-1427.63 ,-1903,-0.045 
