,,建物名称,所在,建設年,延床面積（㎡）,構造,屋根,内壁,外壁
1,三澤Y邸,吹田MI邸,吹田市古江台,1985,118.59,木造2階建,金属板,ラスボード・プラスタ－塗,ラスボード
2,大塚邸,吹田O邸,吹田市古江台,1957,105.78,木造平屋建,瓦葺き,綿壁,ラスモルタル
3,島崎邸,吹田SI邸,吹田市古江台,1988,158,木造2階建,スレート,ボード・クロス張り,ラスモルタル
4,木下邸,吹田KI邸,吹田市藤代台,1994,211.84,木造2階建,スレート,ボード・クロス張り,ラスモルタル
5,山本邸,枚方YA邸,枚方市東香里新町,1985,126.9,木造平屋建,瓦葺き,土塗壁,ラスモルタル
6,三澤K邸,阪南MI邸,阪南市尾岬町,1989,82.64,木造2階建,瓦葺き,ラスボード・漆喰塗,ラスボード・漆喰塗
7,角倉邸,阪南KA邸,阪南市下出,1982,131.16,木造2階建,瓦葺き,土塗壁,ラスモルタル
8,小鯛邸,阪南KO邸,阪南市新町,1981,93.58,木造2階建,瓦葺き,土塗壁,ラスモルタル
9,有地邸,泉南AR邸,泉南郡田尻町,1697～1797,139.12,木造2階建,瓦葺き,土塗壁,土塗壁・漆喰塗
10,鈴木邸,大阪SU邸,大阪市阿倍野区,1930,95.0 ,木造2階建,瓦葺き,土塗壁・漆喰塗,土塗壁・漆喰塗
11,青砥邸,大阪AO邸,大阪市阿倍野区,1935,168.91,木造2階建,瓦葺き,木ずり・プラスター塗,木ずり・プラスター塗
12,安福邸,神戸YA邸,神戸市西区,1980,193.0 ,木造平屋建,金属板,漆喰塗,ラスモルタル
13,白井邸,神戸SI邸,神戸市北区,1977,89.3,木造2階建,スレート,土塗壁,ラスモルタル
14,須磨モデル,神戸MO邸,神戸市須磨区,1995,179.98 ,木造2階建,金属板,ＰＢ・ＥＰ塗り,ラスモルタル
15,永田邸,門真NA邸,門真市城垣町,1927,148.95,木造2階建,瓦葺き,モルタル塗,ラスモルタル
